Country,Continent,ISO_Code,Level,GDLCODE,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambodia,Asia/Pacific,KHM,National,KHMt,Total,0.387,0.392,0.396,0.399,0.4,0.404,0.408,0.414,0.419,0.429,0.438,0.453,0.473,0.488,0.502,0.514,0.525,0.534,0.539,0.539,0.543,0.547,0.551,0.554,0.557,0.562,0.57,0.578,0.586,0.593,0.595,0.594,0.602,0.606
Cambodia,Asia/Pacific,KHM,Subnat,KHMr101,"Banteay Mean Chey",0.372,0.377,0.38,0.383,0.384,0.388,0.392,0.397,0.403,0.412,0.421,0.433,0.45,0.462,0.473,0.481,0.494,0.505,0.511,0.513,0.519,0.531,0.542,0.553,0.564,0.573,0.586,0.598,0.61,0.621,0.626,0.63,0.638,0.642
Cambodia,Asia/Pacific,KHM,Subnat,KHMr113,"Bat Dambang-Krong Pailin",0.396,0.401,0.405,0.407,0.409,0.413,0.417,0.423,0.428,0.438,0.448,0.46,0.478,0.49,0.502,0.511,0.525,0.537,0.544,0.547,0.554,0.561,0.568,0.575,0.581,0.582,0.586,0.59,0.593,0.596,0.594,0.589,0.596,0.6
Cambodia,Asia/Pacific,KHM,Subnat,KHMr102,"Kampong Cham (incl Tboung Khmum)",0.372,0.376,0.38,0.382,0.384,0.387,0.392,0.397,0.402,0.411,0.42,0.435,0.454,0.468,0.482,0.492,0.503,0.511,0.516,0.516,0.52,0.524,0.528,0.531,0.535,0.536,0.54,0.543,0.546,0.548,0.545,0.54,0.547,0.551
Cambodia,Asia/Pacific,KHM,Subnat,KHMr103,"Kampong Chhnang",0.351,0.355,0.359,0.361,0.363,0.366,0.37,0.375,0.38,0.389,0.398,0.42,0.447,0.469,0.491,0.509,0.512,0.514,0.511,0.504,0.501,0.511,0.521,0.531,0.541,0.551,0.563,0.576,0.588,0.599,0.605,0.609,0.617,0.621
Cambodia,Asia/Pacific,KHM,Subnat,KHMr104,"Kampong Spueu",0.366,0.37,0.374,0.376,0.377,0.381,0.385,0.39,0.395,0.405,0.414,0.429,0.45,0.464,0.478,0.488,0.503,0.516,0.524,0.528,0.536,0.54,0.543,0.546,0.548,0.542,0.538,0.534,0.529,0.522,0.51,0.495,0.501,0.505
Cambodia,Asia/Pacific,KHM,Subnat,KHMr105,"Kampong Thum",0.368,0.373,0.377,0.379,0.38,0.384,0.388,0.393,0.398,0.408,0.417,0.435,0.458,0.475,0.492,0.506,0.512,0.516,0.516,0.511,0.511,0.515,0.518,0.521,0.525,0.529,0.536,0.542,0.548,0.554,0.553,0.552,0.559,0.563
Cambodia,Asia/Pacific,KHM,Subnat,KHMr114,"Kampot-Krong Kaeb-Krong Preah Sihanouk",0.387,0.392,0.396,0.398,0.4,0.404,0.408,0.414,0.419,0.429,0.438,0.455,0.476,0.492,0.508,0.521,0.529,0.536,0.538,0.536,0.538,0.544,0.55,0.555,0.561,0.562,0.566,0.569,0.573,0.576,0.573,0.568,0.575,0.579
Cambodia,Asia/Pacific,KHM,Subnat,KHMr106,Kandal,0.391,0.396,0.4,0.402,0.404,0.408,0.412,0.418,0.423,0.433,0.442,0.461,0.485,0.503,0.521,0.536,0.545,0.553,0.556,0.554,0.556,0.559,0.562,0.564,0.566,0.57,0.577,0.583,0.59,0.596,0.597,0.595,0.602,0.606
Cambodia,Asia/Pacific,KHM,Subnat,KHMr107,"Kaoh Kong",0.376,0.381,0.384,0.387,0.388,0.392,0.396,0.401,0.407,0.416,0.425,0.437,0.454,0.466,0.478,0.487,0.503,0.516,0.525,0.529,0.537,0.549,0.561,0.572,0.583,0.578,0.576,0.573,0.57,0.565,0.555,0.543,0.55,0.554
Cambodia,Asia/Pacific,KHM,Subnat,KHMr116,"Mondol Kiri-Rotanak Kiri",0.278,0.281,0.284,0.286,0.287,0.29,0.293,0.297,0.301,0.308,0.315,0.327,0.342,0.353,0.364,0.373,0.397,0.418,0.435,0.447,0.462,0.469,0.477,0.483,0.49,0.495,0.503,0.511,0.518,0.525,0.526,0.526,0.533,0.537
Cambodia,Asia/Pacific,KHM,Subnat,KHMr108,"Phnom Penh",0.55,0.556,0.561,0.565,0.567,0.573,0.579,0.586,0.593,0.605,0.616,0.625,0.64,0.647,0.654,0.658,0.677,0.694,0.705,0.71,0.719,0.71,0.7,0.691,0.682,0.682,0.687,0.691,0.695,0.699,0.696,0.691,0.699,0.703
